Departamento,Gasto_Total
AMAZONAS,2133818608.02
ANCASH,5395627305.87
APURIMAC,2428437561.63
AREQUIPA,5979078488.72
AYACUCHO,3552889657.06
CAJAMARCA,5712042962.89
CUSCO,8579814524.83
HUANCAVELICA,2142992555.57
HUANUCO,2969316377.54
ICA,3561907971.64
JUNIN,4843376220.39
LA LIBERTAD,5284537766.83
LAMBAYEQUE,3296418657.37
LIMA,133167817119.46
LORETO,4092358174.93
MADRE DE DIOS,689037800.49
MOQUEGUA,1532229132.76
PASCO,1386738995.12
PIURA,6643626558.79
PROVINCIA CONSTITUCIONAL DEL CALLAO,6469330310.46
PUNO,4514445833.18
SAN MARTIN,3175020202.0
TACNA,1976312133.85
TUMBES,1226019828.77
UCAYALI,2247329499.05
