Departamento,Gasto_Total
AMAZONAS,1134645770.77
ANCASH,2320847433.12
APURIMAC,1543842023.23
AREQUIPA,3105098967.87
AYACUCHO,2018853574.15
CAJAMARCA,3076357029
CUSCO,4297952546.63
HUANCAVELICA,1431432491.79
HUANUCO,1846865713.32
ICA,1531467306.6
JUNIN,2611007828.15
LA LIBERTAD,3533566955.56
LAMBAYEQUE,2001741804.17
LIMA,86908135572.9
LORETO,2141735284.14
MADRE DE DIOS,416245928.24
MOQUEGUA,887495627.49
PASCO,945668646.21
PIURA,3115060487.05
PROVINCIA CONSTITUCIONAL DEL CALLAO,4212836269.82
PUNO,2722174916.03
SAN MARTIN,2025761539.36
TACNA,954624983.04
TUMBES,653534249.22
UCAYALI,1194589577.71
