Departamento,Gasto_Total
AMAZONAS,1658180634.3700006
ANCASH,3665981917.540001
APURIMAC,1956594508.0400002
AREQUIPA,4222717696.2700005
AYACUCHO,2935176256.5
CAJAMARCA,4094484356.080001
CUSCO,5159768002.549999
HUANCAVELICA,1820389603.1600006
HUANUCO,2426429342.7500005
ICA,1967896317.3200002
JUNIN,3387105321.87
LA LIBERTAD,4240404851.0099998
LAMBAYEQUE,2439716385.1799994
LIMA,117771819293.71
LORETO,3096715166.0099998
MADRE DE DIOS,560495279.28
MOQUEGUA,989081363.2200003
PASCO,1047693785.72
PIURA,4808339514.549999
PROVINCIA CONSTITUCIONAL DEL CALLAO,4328390196.14
PUNO,3573479081.3200006
SAN MARTIN,2556021552.95
TACNA,1316751423.34
TUMBES,874912118.8
UCAYALI,1564406166.26
