Departamento,Gasto_Total
AMAZONAS,846108029.8400003
ANCASH,2881532857.0699997
APURIMAC,1112898337.0600002
AREQUIPA,2862110182.86
AYACUCHO,1851253314.0500002
CAJAMARCA,2861138482.85
CUSCO,5290811519.49
HUANCAVELICA,1308746694.02
HUANUCO,1620412146.23
ICA,1546620992.3
JUNIN,1968501282.97
LA LIBERTAD,3123560884.5699997
LAMBAYEQUE,1802054381.03
LIMA,68484993106.700005
LORETO,2013935051.31
MADRE DE DIOS,373754614.03
MOQUEGUA,973437237.2199999
PASCO,929926306.7900001
PIURA,3048511333.6
PROVINCIA CONSTITUCIONAL DEL CALLAO,3738508141.32
PUNO,2514679876.410001
SAN MARTIN,1551380227.0099998
TACNA,1165100038.0399997
TUMBES,699812972.16
UCAYALI,1068863337.8799999
