Departamento,Gasto_Total
AMAZONAS,766956091.63
ANCASH,2938047354.73
APURIMAC,946778138.27
AREQUIPA,2411362620.25
AYACUCHO,1518747871.35
CAJAMARCA,2579457950.02
CUSCO,4346215768.04
HUANCAVELICA,1220399511
HUANUCO,1415266999.46
ICA,1308089293.15
JUNIN,1807621260.29
LA LIBERTAD,2563470676.83
LAMBAYEQUE,1518074400.21
LIMA,59741028883.99
LORETO,1868462326.52
MADRE DE DIOS,311972118.29
MOQUEGUA,880166296.08
PASCO,814627803.89
PIURA,2452904590.45
PROVINCIA CONSTITUCIONAL DEL CALLAO,3514653847.56
PUNO,2209073661.5
SAN MARTIN,1373215691.71
TACNA,1051528610.41
TUMBES,735913212.2
UCAYALI,933522482.99
